Clave;Fuente;Fecha licitacion;Apertura;Cierre;Estado;Categoria;Titulo;Emisor;Tipo (API);Moneda titulo;Moneda monto;Moneda (clase);Monto a licitar;Monto adjudicado;Adjudicado / licitado;Tasa/margen de corte (%);Desierta;Valor de corte (texto);Variable licitada;Sistema adjudicacion;Ampliable hasta;Liquidacion;Vencimiento;Plazo (dias);Industria;Colocadores;Liquidador;Rueda;Modalidad;Observaciones;Enlace
cnv:3573294;cnv;2026-09-25;11:05;;Anunciada;ON Corporativa;INFORMACIÓN SOCIETARIA - CENTRAL DOCK SUD - OBLIGACIONES NEGOCIABLES CLASE I - CONVOCATORIA A ASAMBLEA;CENTRAL DOCK SUD SOCIEDAD ANONIMA.;CNV - ON;;;;;;;;;;;;;;;;;;;;;INFORMACIÓN SOCIETARIA - CENTRAL DOCK SUD - OBLIGACIONES NEGOCIABLES CLASE I - CONVOCATORIA A ASAMBLEA;https://aif2.cnv.gov.ar/Presentations/publicview/1235AF34-CC60-4E04-A5E5-A65F19FE38E0
a3:-957;a3;2026-09-25;10:00;16:30;Activa;Fideicomiso Financiero;FF CUOTAS CENCOSUD SERIE LXI;TMF Trust Company (Argentina) S.A.;Privada - FF;ARS PESOS;ARS PESOS;ARS;20.493.483.646,00;;;;;VDFA: PRECIO DE CORTE / VDFB: PRECIO DE CORTE;PRECIO;Holandés;NO AMPLIABLE;2026-09-28;;;;BANCO DE GALICIA Y BUENOS AIRES S.A. SBS TRADING S.A. BANCO PATAGONIA S.A.;Clear;GAL2;Abierta;Se ofrecen Valores Fiduciarios por los siguientes V/N: VDFA: $ 17.489.679.888 / VDFB: $ 3.003.803.758. Los Valores Fiduciarios sólo pueden ser adquiridos por Inversores Calificados.;
a3:-960;a3;2026-09-25;10:00;16:00;Activa;Fideicomiso Financiero;FF MEDIANO IMPACTO AMPLIADO COPPEL SERIE 2;ROSARIO ADMINISTRADORA SOCIEDAD FIDUCIARIA S.A.;Privada – FF MEDIANO IMPACTO;ARS PESOS;ARS PESOS;ARS;5.571.484.818,00;;;;;VDFA: TIR DE CORTE % / VDFB: TIR DE CORTE %;TIR;Holandés;NO AMPLIABLE;2026-09-28;;;;BANCO BBVA ARGENTINA S.A. META INVERSIONES S.A. BALANZ CAPITAL VALORES S.A.U.;Clear;FMI1;Abierta;Se ofrecen Valores Fiduciarios por los siguientes V/N: VDFA $ 5.000.002.122 / VDFB $ 571.482.696.;
a3:-961;a3;2026-09-25;10:00;16:00;Activa;Fideicomiso Financiero;FF MEGABONO 359;TMF Trust Company (Argentina) S.A.;Privada - FF;ARS PESOS;ARS PESOS;ARS;11.465.773.609,00;;;;;VDFA MARGEN DE CORTE: % / VDFB MARGEN DE CORTE: % / VDFC MARGEN DE CORTE: %;MARGEN;Holandés;NO AMPLIABLE;2026-09-29;;;;STONEX SECURITIES S.A. MACRO SECURITIES S.A.U. BANCO DE VALORES S.A.;Clear;STNX;Abierta;Se ofrecen Valores Fiduciarios por los siguientes V/N: VDFA $ 9.631.249.831 / VDFB $ 1.170.016.799 / VDFC $ 664.506.979. Los Valores Fiduciarios solo podrán ser adquiridos por Inversores Calificados;
a3:-964;a3;2026-09-25;10:00;16:00;Activa;ON PyME CNV;ON BAJO IMPACTO DIETRICH SERIE I;DIETRICH S.A.;Privada - ON/VCP BAJO IMPACTO;ARS PESOS;ARS PESOS;ARS;1.500.000.000,00;;;;;MARGEN DE CORTE: %;MARGEN;Holandés;NO AMPLIABLE;2026-09-29;2028-09-29;731;;BANCO DE GALICIA Y BUENOS AIRES S.A.;Clear;OBI1;Abierta;Las Obligaciones Negociables Serie I serán Suscriptas, Integradas y Pagaderas en Pesos;
a3:-968;a3;2026-09-25;10:00;16:15;Activa;ON PyME CNV;ON BAJO IMPACTO DATASTAR ARGENTINA SERIE I;DATASTAR ARGENTINA S.A.;Privada - ON/VCP BAJO IMPACTO;ARS PESOS;ARS PESOS;ARS;3.000.000.000,00;;;;;MARGEN DE CORTE: %;MARGEN;Holandés;V/N $ 5.000.000.000;2026-09-29;2028-09-29;731;;BANCO CMF S.A. BANCO DE LA PROVINCIA DE BUENOS AIRES BANCO DE GALICIA Y BUENOS AIRES S.A. BANCO SUPERVIELLE S.A.;Clear;OBI2;Abierta;Las Obligaciones Negociables Serie I serán Suscriptas, Integradas y Pagaderas en Pesos;
a3:-943;a3;2026-09-24;10:00;16:00;Activa;ON Corporativa;ON CREDICUOTAS CONSUMO SERIE XXIV;CREDICUOTAS CONSUMO S.A.;Privada - ON;USD;USD;USD;10.000.000,00;30.881.342,00;3,0881;6,5000;;TASA DE CORTE: 6.50 %;TASA;Holandés;EL MONTO MÁXIMO DE EMISIÓN;2026-09-28;2027-09-28;365;;INDUSTRIAL VALORES S.A. BANCO PATAGONIA S.A. COCOS CAPITAL S.A. BUENOS AIRES VALORES S.A. INVIU VALORES S.A.U. ACA VALORES S.A. BANCO COMAFI S.A. FINCO CAPITAL S.A. BANCO DE SERVICIOS Y TRANSACCIONES S.A.;Clear;INDU;Abierta;;
a3:-944;a3;2026-09-24;10:00;16:00;Activa;ON Corporativa;ON CENTRAL DOCK SUD CLASE I;CENTRAL DOCK SUD S.A.;Privada - ON;USD;USD;USD;20.000.000,00;20.065.298,00;1,0033;5,2500;;TASA DE CORTE: 5.25%;TASA;Holandés;30.000.000;2026-09-28;2028-09-28;731;;BANCO SANTANDER ARGENTINA S.A. BANCO DE GALICIA Y BUENOS AIRES S.A. BANCO BBVA ARGENTINA S.A. INDUSTRIAL VALORES S.A. ALLARIA S.A. BALANZ CAPITAL VALORES S.A.U. MACRO SECURITIES S.A.U. PP INVERSIONES S.A. BANCO MARIVA S.A.;Clear;GALI;Abierta;Las Obligaciones Negociables Clase I deberán ser Suscriptas, Integradas y Pagaderas en Dólares Estadounidenses en la República Argentina;
a3:-956;a3;2026-09-24;10:00;16:00;Activa;ON PyME CNV;ON MEDIANO IMPACTO CHAMICAL II SERIE I ADICIONALES;CHAMICAL SOLAR II S.A.U.;Privada - ON/VCP MEDIANO IMPACTO;ARS PESOS;ARS PESOS;ARS;3.000.000,00;3.000.000,00;1,0000;100,0000;;ADHESIÓN 100%;ADHESIÓN;Holandés;NO AMPLIABLE;2026-09-28;2029-08-21;1058;;BULL MARKET BROKERS S.A.;Clear;OMI1;Abierta;;
a3:-958;a3;2026-09-24;10:00;16:00;Activa;ON Corporativa;ON BANCO SUPERVIELLE CLASE W ADICIONALES;BANCO SUPERVIELLE S.A.;Privada - ON;USD;USD;USD;20.000.000,00;20.724.373,00;1,0362;;;PRECIO DE CORTE: $ 1.0077;PRECIO;Holandés;EL MONTO MÁXIMO DISPONIBLE DEL PROGRAMA;2026-09-28;2028-08-07;679;;BANCO SUPERVIELLE S.A. BANCO PATAGONIA S.A. ALLARIA S.A. INVERTIRONLINE S.A.U. CUCCHIARA y CÍA. S.A.;Clear;BSUP;Abierta;"Las Obligaciones Negociables Clase W Adicionales deberán ser Suscriptas e Integradas: (i) en efectivo, en Dólares Estadounidenses en la República Argentina (dólar mep); o y/o (ii) en especie mediante la entrega de las Obligaciones Negociables Clase V y/o las Obligaciones Negociables Clase X conforme a la Relación de Canje correspondiente.";
